scientificName,country,stateProvince,county,decimalLongitude,decimalLatitude
Magnolia fraseri,United States,North Carolina,Polk,-82.16963528,35.27928881
Magnolia fraseri,United States,North Carolina,Polk,-82.16963528,35.27928881
Magnolia grandiflora,United States,North Carolina,Stanly,-80.25067487,35.31201475
Magnolia acuminata var. subcordata,United States,North Carolina,Stanly,-80.25067487,35.31201475
Magnolia acuminata var. subcordata,United States,North Carolina,Stanly,-80.25067487,35.31201475
Magnolia grandiflora,United States,North Carolina,Gaston,-81.180143,35.29446518
Magnolia macrophylla,United States,North Carolina,Gaston,-81.180143,35.29446518
Magnolia macrophylla,United States,North Carolina,Gaston,-81.180143,35.29446518
Magnolia macrophylla,United States,North Carolina,Gaston,-81.180143,35.29446518
Magnolia macrophylla,United States,North Carolina,Gaston,-81.180143,35.29446518
Magnolia macrophylla,United States,North Carolina,Gaston,-81.180143,35.29446518
Magnolia macrophylla,United States,North Carolina,Gaston,-81.180143,35.29446518
Magnolia tripetala,United States,North Carolina,Gaston,-81.180143,35.29446518
Magnolia grandiflora,United States,North Carolina,Carteret,-76.67067659,34.8327128
Magnolia grandiflora,United States,South Carolina,Beaufort,-80.73715224,32.38725698
Magnolia grandiflora,United States,South Carolina,Beaufort,-80.73715224,32.38725698
Magnolia grandiflora,United States,South Carolina,Berkeley,-79.95075816,33.19784471
Magnolia grandiflora,United States,South Carolina,Charleston,-79.94391996,32.84106059
Magnolia grandiflora,United States,South Carolina,Colleton,-80.66802566,32.86547454
Magnolia grandiflora,United States,South Carolina,Colleton,-80.66802566,32.86547454
Magnolia grandiflora,United States,South Carolina,Colleton,-80.66802566,32.86547454
Magnolia grandiflora,United States,South Carolina,Dorchester,-80.40524064,33.07947344
Magnolia grandiflora,United States,South Carolina,Dorchester,-80.40524064,33.07947344
Magnolia macrophylla,United States,South Carolina,Dorchester,-80.40524064,33.07947344
Magnolia macrophylla,United States,South Carolina,Dorchester,-80.40524064,33.07947344
Magnolia macrophylla,United States,South Carolina,Dorchester,-80.40524064,33.07947344
Magnolia macrophylla,United States,South Carolina,Dorchester,-80.40524064,33.07947344
Magnolia macrophylla,United States,South Carolina,Dorchester,-80.40524064,33.07947344
Magnolia macrophylla,United States,South Carolina,Dorchester,-80.40524064,33.07947344
Magnolia tripetala,United States,South Carolina,Dorchester,-80.40524064,33.07947344
Magnolia grandiflora,United States,South Carolina,Florence,-79.70282897,34.02445475
Magnolia grandiflora,United States,South Carolina,Georgetown,-79.33672813,33.4408362
Magnolia grandiflora,United States,South Carolina,Horry,-78.99662622,33.9215361
Magnolia grandiflora,United States,South Carolina,Horry,-78.99662622,33.9215361
Magnolia grandiflora,United States,South Carolina,Horry,-78.99662622,33.9215361
Magnolia grandiflora,United States,South Carolina,Jasper,-80.85448142,32.40439618
Magnolia grandiflora,United States,South Carolina,Orangeburg,-80.80033494,33.43900587
Magnolia grandiflora,United States,South Carolina,Richland,-80.90306099,34.02181014
Magnolia grandiflora,United States,South Carolina,Richland,-80.90306099,34.02181014
Magnolia grandiflora,United States,South Carolina,Richland,-80.90306099,34.02181014
Magnolia grandiflora,United States,South Carolina,Richland,-80.90306099,34.02181014
Magnolia grandiflora,United States,Alabama,Baldwin,-87.71713245,30.72782803
Magnolia pyramidata,United States,Alabama,Baldwin,-87.71713245,30.72782803
Magnolia grandiflora,United States,Alabama,Barbour,-85.39323346,31.86959109
Magnolia grandiflora,United States,Alabama,Bullock,-85.71608923,32.10048703
Magnolia grandiflora,United States,Alabama,Butler,-86.68028285,31.75243468
Magnolia macrophylla,United States,Alabama,Butler,-86.68028285,31.75243468
Magnolia pyramidata,United States,Alabama,Butler,-86.68028285,31.75243468
Magnolia grandiflora,United States,Alabama,Choctaw,-88.26283597,32.01924083
Magnolia macrophylla,United States,Alabama,Choctaw,-88.26283597,32.01924083
Magnolia macrophylla,United States,Alabama,Choctaw,-88.26283597,32.01924083
Magnolia grandiflora,United States,Alabama,Clarke,-87.83093352,31.67087887
Magnolia macrophylla,United States,Alabama,Clarke,-87.83093352,31.67087887
Magnolia grandiflora,United States,Alabama,Coffee,-85.98819188,31.40264484
Magnolia pyramidata,United States,Alabama,Coffee,-85.98819188,31.40264484
Magnolia grandiflora,United States,Alabama,Conecuh,-86.99362423,31.42929716
Magnolia pyramidata,United States,Alabama,Conecuh,-86.99362423,31.42929716
Magnolia grandiflora,United States,Alabama,Covington,-86.45121318,31.24848335
Magnolia grandiflora,United States,Alabama,Crenshaw,-86.31355371,31.7315154
Magnolia grandiflora,United States,Alabama,Dale,-85.61100882,31.43183356
Magnolia grandiflora,United States,Alabama,Escambia,-87.16156384,31.12616465
Magnolia grandiflora,United States,Alabama,Geneva,-85.83897104,31.09501879
Magnolia pyramidata,United States,Alabama,Geneva,-85.83897104,31.09501879
Magnolia grandiflora,United States,Alabama,Houston,-85.30253036,31.15319239
Magnolia grandiflora,United States,Alabama,Lee,-85.3556116,32.6011835
Magnolia grandiflora,United States,Alabama,Lee,-85.3556116,32.6011835
Magnolia grandiflora,United States,Alabama,Macon,-85.69260662,32.38602298
Magnolia grandiflora,United States,Alabama,Marengo,-87.78948895,32.24763865
Magnolia grandiflora,United States,Alabama,Mobile,-88.20178987,30.79425792
Magnolia grandiflora,United States,Alabama,Mobile,-88.20178987,30.79425792
Magnolia grandiflora,United States,Alabama,Mobile,-88.20178987,30.79425792
Magnolia grandiflora,United States,Alabama,Mobile,-88.20178987,30.79425792
Magnolia macrophylla,United States,Alabama,Mobile,-88.20178987,30.79425792
Magnolia grandiflora,United States,Alabama,Monroe,-87.36581464,31.57061146
Magnolia grandiflora,United States,Alabama,Russell,-85.18489597,32.2884296
Magnolia grandiflora,United States,Alabama,Tuscaloosa,-87.52504581,33.28954893
Magnolia macrophylla,United States,Alabama,Tuscaloosa,-87.52504581,33.28954893
Magnolia macrophylla,United States,Alabama,Tuscaloosa,-87.52504581,33.28954893
Magnolia macrophylla,United States,Alabama,Tuscaloosa,-87.52504581,33.28954893
Magnolia macrophylla,United States,Alabama,Tuscaloosa,-87.52504581,33.28954893
Magnolia tripetala,United States,Alabama,Tuscaloosa,-87.52504581,33.28954893
Magnolia grandiflora,United States,Alabama,Washington,-88.20712661,31.40766471
Magnolia grandiflora,United States,Alabama,Wilcox,-87.30819408,31.98924224
Magnolia grandiflora,United States,Florida,Gadsden,-84.613666,30.57949134
Magnolia grandiflora,United States,Florida,Gadsden,-84.613666,30.57949134
Magnolia grandiflora,United States,Florida,Gadsden,-84.613666,30.57949134
Magnolia grandiflora,United States,Florida,Osceola,-81.14954858,28.06266126
Magnolia grandiflora,United States,Georgia,Appling,-82.28903,31.74928357
Magnolia grandiflora,United States,Georgia,Appling,-82.28903,31.74928357
Magnolia grandiflora,United States,Georgia,Bacon,-82.45272852,31.5536922
Magnolia grandiflora,United States,Georgia,Brooks,-83.58032178,30.84196295
Magnolia grandiflora,United States,Georgia,Candler,-82.07368042,32.4035127
Magnolia grandiflora,United States,Georgia,Charlton,-82.13796058,30.78183649
Magnolia grandiflora,United States,Georgia,Clinch,-82.70632684,30.91507339
Magnolia grandiflora,United States,Georgia,Coffee,-82.84926853,31.54924081
Magnolia grandiflora,United States,Georgia,Decatur,-84.57202307,30.88148573
Magnolia grandiflora,United States,Georgia,Decatur,-84.57202307,30.88148573
Magnolia pyramidata,United States,Georgia,Decatur,-84.57202307,30.88148573
Magnolia grandiflora,United States,Georgia,Glynn,-81.5512398,31.23649349
Magnolia grandiflora,United States,Georgia,Grady,-84.23441504,30.87467716
Magnolia grandiflora,United States,Georgia,Echols,-82.8938851,30.71007632
Magnolia grandiflora,United States,Georgia,Effingham,-81.34071312,32.36752828
Magnolia fraseri,United States,Georgia,Effingham,-81.34071312,32.36752828
Magnolia tripetala,United States,Georgia,Effingham,-81.34071312,32.36752828
Magnolia tripetala,United States,Georgia,Effingham,-81.34071312,32.36752828
Magnolia grandiflora,United States,Georgia,Emanuel,-82.30178492,32.58978369
Magnolia grandiflora,United States,Georgia,Hancock,-83.00100653,33.27027605
Magnolia grandiflora,United States,Georgia,Long,-81.74597121,31.75281689
Magnolia grandiflora,United States,Georgia,Lowndes,-83.2677379,30.83387937
Magnolia grandiflora,United States,Georgia,Lowndes,-83.2677379,30.83387937
Magnolia grandiflora,United States,Georgia,Pierce,-82.21334938,31.35893089
Magnolia grandiflora,United States,Georgia,Tattnall,-82.05818746,32.04582908
Magnolia grandiflora,United States,Georgia,Seminole,-84.8681002,30.94809711
Magnolia grandiflora,United States,Georgia,Wayne,-81.91681162,31.55153151
Magnolia pyramidata,United States,Georgia,Wayne,-81.91681162,31.55153151
Magnolia grandiflora,United States,Louisiana,Lafayette,-92.06388392,30.20627146
Magnolia grandiflora,United States,Louisiana,Orleans,-89.90366345,30.03846851
Magnolia grandiflora,United States,Louisiana,Ouachita,-92.15453329,32.47845315
Magnolia grandiflora,United States,Louisiana,Ouachita,-92.15453329,32.47845315
Magnolia grandiflora,United States,Louisiana,Saint Mary,-91.44939971,29.71955825
Magnolia grandiflora,United States,Louisiana,Vernon,-93.18417553,31.10829741
Magnolia grandiflora,United States,Louisiana,Vernon,-93.18417553,31.10829741
Magnolia grandiflora,United States,Louisiana,Vernon,-93.18417553,31.10829741
Magnolia grandiflora,United States,Mississippi,George,-88.64404919,30.86263076
Magnolia macrophylla,United States,Mississippi,George,-88.64404919,30.86263076
Magnolia macrophylla,United States,Mississippi,George,-88.64404919,30.86263076
Magnolia pyramidata,United States,Mississippi,George,-88.64404919,30.86263076
Magnolia grandiflora,United States,Mississippi,Hinds,-90.44273825,32.26672306
Magnolia grandiflora,United States,Mississippi,Lamar,-89.5087079,31.20590762
Magnolia macrophylla,United States,Mississippi,Lamar,-89.5087079,31.20590762
Magnolia grandiflora,United States,Mississippi,Perry,-88.99232955,31.17205013
Magnolia macrophylla,United States,Mississippi,Perry,-88.99232955,31.17205013
Magnolia grandiflora,United States,Mississippi,Wilkinson,-91.31089902,31.16102867
Magnolia macrophylla,United States,Mississippi,Wilkinson,-91.31089902,31.16102867
Magnolia macrophylla,United States,Mississippi,Wilkinson,-91.31089902,31.16102867
Magnolia pyramidata,United States,Mississippi,Wilkinson,-91.31089902,31.16102867
Magnolia pyramidata,United States,Mississippi,Wilkinson,-91.31089902,31.16102867
Magnolia pyramidata,United States,Mississippi,Wilkinson,-91.31089902,31.16102867
Magnolia pyramidata,United States,Mississippi,Wilkinson,-91.31089902,31.16102867
Magnolia grandiflora,United States,Virginia,James City,-76.83243668,37.22974197
Magnolia grandiflora,United States,Virginia,James City,-76.83243668,37.22974197
Magnolia tripetala,United States,Virginia,James City,-76.83243668,37.22974197
Magnolia grandiflora,United States,Virginia,Mecklenburg,-78.36274998,36.68035747
Magnolia grandiflora,United States,Virginia,Mecklenburg,-78.36274998,36.68035747
Magnolia grandiflora,United States,Virginia,York,-76.4685953,37.2046153
Magnolia grandiflora,United States,Pennsylvania,Crawford,-80.10628735,41.68475447
Magnolia grandiflora,United States,Texas,Wood,-95.3820906,32.78639796
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Okaloosa,-86.59642771,30.70680287
Magnolia ashei,United States,Florida,Liberty,-84.88291767,30.24137845
Magnolia ashei,United States,Florida,Liberty,-84.88291767,30.24137845
Magnolia pyramidata,United States,Florida,Liberty,-84.88291767,30.24137845
Magnolia ashei,United States,Florida,Walton,-85.89755659,30.54508146
Magnolia pyramidata,United States,Florida,Walton,-85.89755659,30.54508146
Magnolia fraseri,United States,North Carolina,McDowell,-82.04866696,35.68134711
Magnolia fraseri,United States,North Carolina,McDowell,-82.04866696,35.68134711
Magnolia fraseri,United States,North Carolina,McDowell,-82.04866696,35.68134711
Magnolia fraseri,United States,North Carolina,McDowell,-82.04866696,35.68134711
Magnolia fraseri,United States,North Carolina,McDowell,-82.04866696,35.68134711
Magnolia tripetala,United States,North Carolina,McDowell,-82.04866696,35.68134711
Magnolia fraseri,United States,North Carolina,Mitchell,-82.16342412,36.01330141
Magnolia tripetala,United States,North Carolina,Mitchell,-82.16342412,36.01330141
Magnolia fraseri,United States,North Carolina,Rutherford,-81.9201979,35.40229545
Magnolia tripetala,United States,North Carolina,Rutherford,-81.9201979,35.40229545
Magnolia tripetala,United States,North Carolina,Rutherford,-81.9201979,35.40229545
Magnolia tripetala,United States,North Carolina,Rutherford,-81.9201979,35.40229545
Magnolia tripetala,United States,North Carolina,Rutherford,-81.9201979,35.40229545
Magnolia fraseri,United States,North Carolina,Stokes,-80.23951224,36.40184965
Magnolia fraseri,United States,North Carolina,Stokes,-80.23951224,36.40184965
Magnolia fraseri,United States,North Carolina,Stokes,-80.23951224,36.40184965
Magnolia tripetala,United States,North Carolina,Stokes,-80.23951224,36.40184965
Magnolia tripetala,United States,North Carolina,Stokes,-80.23951224,36.40184965
Magnolia acuminata var. subcordata,United States,North Carolina,Stokes,-80.23951224,36.40184965
Magnolia fraseri,United States,North Carolina,Surry,-80.68816558,36.41481984
Magnolia fraseri,United States,North Carolina,Surry,-80.68816558,36.41481984
Magnolia fraseri,United States,North Carolina,Surry,-80.68816558,36.41481984
Magnolia fraseri,United States,North Carolina,Surry,-80.68816558,36.41481984
Magnolia tripetala,United States,North Carolina,Surry,-80.68816558,36.41481984
Magnolia fraseri,United States,North Carolina,Swain,-83.49274888,35.48673924
Magnolia tripetala,United States,North Carolina,Swain,-83.49274888,35.48673924
Magnolia tripetala,United States,North Carolina,Swain,-83.49274888,35.48673924
Magnolia tripetala,United States,North Carolina,Swain,-83.49274888,35.48673924
Magnolia fraseri,United States,North Carolina,Alexander,-81.17715241,35.92109256
Magnolia fraseri,United States,North Carolina,Alleghany,-81.12858542,36.49152833
Magnolia fraseri,United States,North Carolina,Alleghany,-81.12858542,36.49152833
Magnolia fraseri,United States,North Carolina,Ashe,-81.50103824,36.43461383
Magnolia fraseri,United States,North Carolina,Ashe,-81.50103824,36.43461383
Magnolia fraseri,United States,North Carolina,Ashe,-81.50103824,36.43461383
Magnolia fraseri,United States,North Carolina,Avery,-81.92244412,36.07659361
Magnolia fraseri,United States,North Carolina,Avery,-81.92244412,36.07659361
Magnolia fraseri,United States,North Carolina,Buncombe,-82.53015914,35.61119845
Magnolia fraseri,United States,North Carolina,Burke,-81.70450324,35.74948675
Magnolia tripetala,United States,North Carolina,Burke,-81.70450324,35.74948675
Magnolia acuminata var. subcordata,United States,North Carolina,Burke,-81.70450324,35.74948675
Magnolia acuminata var. subcordata,United States,North Carolina,Burke,-81.70450324,35.74948675
Magnolia fraseri,United States,North Carolina,Caldwell,-81.54650138,35.95297202
Magnolia fraseri,United States,North Carolina,Caldwell,-81.54650138,35.95297202
Magnolia tripetala,United States,North Carolina,Caldwell,-81.54650138,35.95297202
Magnolia tripetala,United States,North Carolina,Caldwell,-81.54650138,35.95297202
Magnolia fraseri,United States,North Carolina,Cherokee,-84.06347726,35.13386956
Magnolia tripetala,United States,North Carolina,Cherokee,-84.06347726,35.13386956
Magnolia tripetala,United States,North Carolina,Cherokee,-84.06347726,35.13386956
Magnolia tripetala,United States,North Carolina,Cherokee,-84.06347726,35.13386956
Magnolia fraseri,United States,North Carolina,Clay,-83.75018836,35.0572389
Magnolia fraseri,United States,North Carolina,Graham,-83.833541,35.35016118
Magnolia tripetala,United States,North Carolina,Graham,-83.833541,35.35016118
Magnolia tripetala,United States,North Carolina,Graham,-83.833541,35.35016118
Magnolia tripetala,United States,North Carolina,Graham,-83.833541,35.35016118
Magnolia tripetala,United States,North Carolina,Graham,-83.833541,35.35016118
Magnolia fraseri,United States,North Carolina,Haywood,-82.98221766,35.5560571
Magnolia fraseri,United States,North Carolina,Haywood,-82.98221766,35.5560571
Magnolia fraseri,United States,North Carolina,Haywood,-82.98221766,35.5560571
Magnolia tripetala,United States,North Carolina,Haywood,-82.98221766,35.5560571
Magnolia fraseri,United States,North Carolina,Henderson,-82.47990421,35.33624327
Magnolia fraseri,United States,North Carolina,Jackson,-83.14081612,35.28739362
Magnolia tripetala,United States,North Carolina,Jackson,-83.14081612,35.28739362
Magnolia fraseri,United States,North Carolina,Macon,-83.42211731,35.15044854
Magnolia fraseri,United States,North Carolina,Macon,-83.42211731,35.15044854
Magnolia fraseri,United States,North Carolina,Macon,-83.42211731,35.15044854
Magnolia fraseri,United States,North Carolina,Macon,-83.42211731,35.15044854
Magnolia fraseri,United States,North Carolina,Macon,-83.42211731,35.15044854
Magnolia fraseri,United States,North Carolina,Macon,-83.42211731,35.15044854
Magnolia tripetala,United States,North Carolina,Macon,-83.42211731,35.15044854
Magnolia tripetala,United States,North Carolina,Macon,-83.42211731,35.15044854
Magnolia acuminata var. subcordata,United States,North Carolina,Macon,-83.42211731,35.15044854
Magnolia fraseri,United States,North Carolina,Madison,-82.70568957,35.85805671
Magnolia fraseri,United States,North Carolina,Madison,-82.70568957,35.85805671
Magnolia tripetala,United States,North Carolina,Madison,-82.70568957,35.85805671
Magnolia fraseri,United States,North Carolina,Transylvania,-82.79830342,35.20215634
Magnolia fraseri,United States,North Carolina,Transylvania,-82.79830342,35.20215634
Magnolia fraseri,United States,North Carolina,Transylvania,-82.79830342,35.20215634
Magnolia fraseri,United States,North Carolina,Transylvania,-82.79830342,35.20215634
Magnolia fraseri,United States,North Carolina,Transylvania,-82.79830342,35.20215634
Magnolia acuminata var. subcordata,United States,North Carolina,Transylvania,-82.79830342,35.20215634
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia acuminata var. subcordata,United States,North Carolina,Watauga,-81.69691496,36.23128455
Magnolia fraseri,United States,North Carolina,Wilkes,-81.16384798,36.20653459
Magnolia fraseri,United States,North Carolina,Wilkes,-81.16384798,36.20653459
Magnolia fraseri,United States,North Carolina,Wilkes,-81.16384798,36.20653459
Magnolia fraseri,United States,North Carolina,Wilkes,-81.16384798,36.20653459
Magnolia tripetala,United States,North Carolina,Wilkes,-81.16384798,36.20653459
Magnolia tripetala,United States,North Carolina,Wilkes,-81.16384798,36.20653459
Magnolia fraseri,United States,North Carolina,Yancey,-82.30756844,35.89888749
Magnolia fraseri,United States,South Carolina,Greenville,-82.37080785,34.89437093
Magnolia fraseri,United States,South Carolina,Greenville,-82.37080785,34.89437093
Magnolia fraseri,United States,South Carolina,Greenville,-82.37080785,34.89437093
Magnolia fraseri,United States,South Carolina,Oconee,-83.06586494,34.75347379
Magnolia fraseri,United States,South Carolina,Oconee,-83.06586494,34.75347379
Magnolia fraseri,United States,South Carolina,Oconee,-83.06586494,34.75347379
Magnolia fraseri,United States,South Carolina,Pickens,-82.72537081,34.88752885
Magnolia fraseri,United States,South Carolina,Pickens,-82.72537081,34.88752885
Magnolia fraseri,United States,South Carolina,Pickens,-82.72537081,34.88752885
Magnolia fraseri,United States,South Carolina,Pickens,-82.72537081,34.88752885
Magnolia fraseri,United States,Georgia,Fannin,-84.31974151,34.86409531
Magnolia fraseri,United States,Georgia,Habersham,-83.53116472,34.6310087
Magnolia fraseri,United States,Georgia,Rabun,-83.4021281,34.8817714
Magnolia fraseri,United States,Georgia,Rabun,-83.4021281,34.8817714
Magnolia fraseri,United States,Georgia,Rabun,-83.4021281,34.8817714
Magnolia fraseri,United States,Georgia,Rabun,-83.4021281,34.8817714
Magnolia fraseri,United States,Georgia,Rabun,-83.4021281,34.8817714
Magnolia fraseri,United States,Georgia,Stephens,-83.29348895,34.5539686
Magnolia fraseri,United States,Georgia,Stephens,-83.29348895,34.5539686
Magnolia fraseri,United States,Kentucky,Harlan,-83.21788767,36.85700485
